zinc_id,smiles,mwt,logp,heavy_atoms,n_rings,heteroatoms,tpsa,hacceptors,hdonors,rotatable_bonds
ZINC000000000073,OC[C@@H](O)COc1nn(Cc2ccccc2)c2ccccc12,298.34200000000004,1.8165999999999995,22,3,5,67.50999999999999,5,2,6
ZINC000000000075,O=C(O[C@@H]1CN2CCC1CC2)c1ccccc1,231.295,1.9376000000000004,17,7,3,29.54,3,0,2
ZINC000000000076,O=C(c1ccccc1)[C@@H](O)c1ccccc1,212.248,2.602900000000001,16,2,2,37.3,2,1,3
ZINC000000000077,C[N+]1(C)CC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,326.41600000000005,2.3144,24,4,4,46.53,3,1,4
ZINC000000000078,O=C(OCc1ccccc1)[C@@H](O)c1ccccc1,242.274,2.4634,18,2,3,46.53,3,1,4
ZINC000000000079,COc1c(O)cc2c(c1O)[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1OC2=O,328.2730000000001,-1.2006000000000006,23,4,9,145.91,9,5,2
ZINC000000000080,Cc1ccc2c(c1)CC(=O)c1cc([C@H](C)C(=O)O)ccc1O2,296.32200000000006,3.714220000000001,22,3,4,63.60000000000001,3,1,2
ZINC000000000081,CCO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@@H](C)CC[C@H]([C@@H]1C)[C@@]42OO3,312.406,3.230900000000002,22,10,5,46.150000000000006,5,0,2
ZINC000000000083,C[C@@H](C[N+](C)(C)C)OC(N)=O,161.22499999999997,0.1764,11,0,4,52.32,2,1,3
ZINC000000000085,C[N+](C)(C)CCO[C@H](Cc1ccccc1)c1ccccc1,284.423,3.6932000000000023,21,2,2,9.23,1,0,7
